"","compustats_tic","crsp_tic"
"1073","SWN","SWN"
"1074","COG","COG"
"1075","AKS","AKS"
"1076","MEE","MEE"
"1077","LO","LO"
"1078","DVA","DVA"
"1079","FTR","FTR"
"1080","MA","MA"
"1081","SNI","SNI"
"1082","IVZ","IVZ"
"1083","CF","CF"
"1084","FLS","FLS"
"1085","FAST","FAST"
"1086","APH","APH"
"1087","PXD","PXD"
"1088","CRM","CRM"
"1089","WEC","WEC"
"1090","NDAQ","NDAQ"
"1091","DPS","DPS"
"1092","SJM","SJM"
"1093","XRAY","XRAY"
"1094","PBCT","PBCT"
"1095","CEPH","CEPH"
"1096","SRCL","SRCL"
"1097","MWW","MWW"
"1098","RSG","RSG"
"1099","LIFE.3","LIFE"
"1100","WYNN","WYNN"
"1101","EQT","EQT"
"1102","SCG","SCG"
"1103","TFCFA","NWSA"
"1104","MFE","MFE"
"1105","FLIR","FLIR"
"1106","WELL","HCN"
